1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	1	2	3	4	5	6	7	8	9	10
Q0045	0	0	0	0	0	0	0	0	1	1	52	20	61	23	25	17	20	29	32	5	24	18	17	17	44	0	30	10	30	21	0	14	11	10	29	10	7	7	2	34	11	27	0	0	0	10	0	0	0	0	0	33	78	46	9	29	0	15	5	13	6	25	3	4	4	8	1	0	7	1	14	20	0	0	0	0	0	0	0	0	0	9	14	0	12	4	2	111	155	142	0	0	1	0	0	0	0	0	0	0
Q0085	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	14	0	0	0	0	0	0	0	1	0	3	2	1	0	1	0	0	3	0	0	0	6	1	1	0	0	0	1	10	17	0	0	0	0	0	0	4	4	0	2	0	0	1	5	0	0	3	1	0	0	0	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0	0	0	22	5	28	24	26	1	7	5	2	5	3	5	4	3	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	12	3	2	3	7	3	0	4	25	8	8	0	1	0	0	2	3	0	0	2	3	22	15	0	6	17	0	0	0	1	5	2	0	0	0	0	0	0	45	0	0	0	0	0	0	0	3	34	20	30	13	0	0	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	1	2	0	0	11	11	0	1	0	0	0	0	2	2	8	0	0	3	0	0	0	8	0	18	10	4	2	0	1	1	12	1	2	1	14	6	0	0	0	9	0	0	0	3	2	0	0	0	1	1	0	7	0	0	0	8	4	3	8	7	0	1	8	1	6	0	0	0	0	0	0	0	4	1	0	0	0	0	2	1	0	1	0	0	0	0	0	1	2	2	1	0	0	0	2
Q0250	0	0	0	0	0	9	135	7	0	2	3	6	14	0	0	0	0	14	10	0	10	0	0	0	7	0	2	0	0	0	0	0	3	0	0	0	8	7	0	1	12	2	9	20	0	3	0	1	0	1	0	0	0	0	11	0	0	0	27	0	0	5	2	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	3	0	0	0	0
Q0275	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	4	0	0	10	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	0	15	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL003W	1	0	0	1	0	0	7	2	0	1	10	28	5	1	8	16	8	0	18	7	6	8	0	0	11	345	602	623	1506	39	77	18	4	15	0	28	6	31	13	1	16	19	1	0	17	2	46	36	9	4	34	96	20	12	3	69	14	0	49	55	21	16	0	3	7	0	4	7	15	5	15	2	18	0	10	34	1	4	8	20	0	24	0	24	0	5	0	3	3	2	23	37	44	26	6	5	0	0	0	0
YAL012W	0	3	0	0	19	2	2	9	0	0	0	0	1	2	0	0	1	13	0	9	0	2	0	0	0	1	0	10	27	6	0	0	0	0	0	2	5	5	0	0	0	0	6	8	18	0	1	8	2	6	0	1	0	0	0	6	2	31	0	0	1	0	0	0	0	0	0	0	2	10	1	1	0	0	1	0	6	20	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL016W	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	13	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
