Dbp21	Dbp22	Dbp23	Dbp21_percent	Dbp22_percent	Dbp23_percent	average_percent
gene	332295	320262	351599	38.4569982258361	36.5135303070898	35.7618069731653	36.9107785020304
ncRNA_gene	8811	12134	13482	1.01971023147457	1.38341475650008	1.37128001391419	1.25813500062961
rRNA_gene	113399	76057	99350	13.1238361751203	8.67136773818414	10.1050785775386	10.6334274969477
snoRNA_gene	319710	322048	370543	37.0005173197974	36.7171547306195	37.6886374570394	37.1354365024854
snRNA_gene	34112	31026	50883	3.94783286982868	3.53731879307495	5.17540727992848	4.22018631427737
telomerase_RNA_gene	713	1063	2082	0.0825165582841185	0.121194155773824	0.211764203305841	0.138491639121261
tRNA_gene	51779	109183	89865	5.99246125020108	12.4481105454877	9.14034108072976	9.19363762547285
lncRNA	3250	5332	5365	0.376127369457763	0.607908973270019	0.545684414378403	0.509906919035395
lncRNA_total	12774	18529	20929	1.47835415921645	2.11251788554392	2.12872863159843	1.90653355878627
