1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	1	2	3	4	5	6	7	8	9	10
Q0045	0	0	0	0	0	0	0	2	0	5	12	0	16	3	37	3	12	8	3	10	4	53	15	3	46	0	34	1	60	2	0	66	6	28	13	5	7	6	2	14	0	2	0	0	0	8	0	0	0	0	0	4	1	5	17	21	0	22	7	2	1	5	6	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	11	0	20	2	0	104	65	30	5	0	1	1	0	0	0	0	0	0
Q0085	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	5	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0	0	0	10	3	27	5	10	0	3	17	0	1	0	0	7	0	2	0	0	0	8	0	0	0	0	1	0	0	0	0	0	12	2	0	2	0	0	0	2	0	0	1	0	7	0	0	1	0	0	0	0	0	8	0	0	10	0	0	0	0	1	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	36	1	32	2	0	0	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0	2	0	0	0	13	2	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	1	49	1	0	0	15	0	0	0	0	0	2	1	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	33	0	12	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Q0275	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL003W	0	0	0	0	1	0	0	0	0	1	1	1	0	0	4	0	0	3	0	0	49	0	0	0	0	152	484	993	1418	626	115	16	1	16	0	0	1	28	52	0	0	0	11	11	0	24	6	77	3	2	40	153	75	0	0	156	1	1	1	72	4	0	1	0	3	117	0	0	2	11	0	0	1	0	0	0	0	0	1	93	0	0	0	0	0	13	0	0	1	2	33	22	46	66	12	4	0	0	0	0
YAL012W	0	0	0	0	0	0	1	0	0	0	0	5	10	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	42	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	24	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL016W	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
