Dbp2.1	Dbp2.2	Dbp2.3
YKL068W-A	48	50	29
YKL065C	104	80	114
YKL064W	11	33	12
YKL063C	22	73	15
YKL060C	4669	4258	4547
YKL058W	23	16	19
YKL057C	25	99	67
YKL056C	601	382	525
YKL054C	101	137	105
YKL043W	11	134	32
YKL039W	24	66	35
YKL038W	10	25	24
YKL035W	198	121	193
YKL033W-A	30	110	47
YKL032C	88	66	72
YKL029C	128	339	168
YKL020C	17	33	16
YKL014C	34	37	97
YKL010C	37	29	106
YKL009W	24	98	43
YKL008C	26	107	11
YKL006W	483	257	508
YKL004W	34	36	39
YKL002W	10	19	13
YKR001C	53	55	54
YKR008W	99	84	100
YKR013W	31	143	103
YKR014C	26	83	75
YKR018C	68	98	42
YKR026C	26	138	25
YKR028W	84	247	103
YKR035W-A	18	28	7
YKR038C	43	48	105
YKR042W	818	393	838
YKR048C	9	138	14
YKR057W	241	60	247
YKR058W	11	36	32
YKR059W	712	528	616
YKR061W	10	41	23
YKR067W	87	80	85
YKR072C	40	79	48
YKR075C	19	231	81
YKR080W	103	53	99
YKR082W	29	98	17
YKR084C	18	24	15
YKR086W	23	17	34
YKR089C	37	97	99
YKR092C	20	13	32
YKR093W	107	306	196
YKR094C	453	441	463
YKR095W	43	76	49
YKR096W	22	34	20
YKR100C	31	55	41
YLL051C	7	174	17
YLL050C	296	116	334
YLL048C	63	156	45
YLL045C	533	773	607
YLL043W	48	222	94
YLL040C	102	103	42
YLL039C	82	62	118
YLL028W	31	25	32
YLL027W	10	49	54
YLL026W	1162	611	879
YLL024C	2269	1388	1953
YLL023C	68	17	22
YLL021W	49	43	19
YLL018C	121	56	110
YLL015W	161	123	138
YLL013C	70	269	62
YLL009C	36	18	16
YLL008W	17	14	9
YLR006C	6	22	19
YLR009W	20	53	16
YLR017W	21	21	60
YLR022C	7	41	7
YLR025W	26	110	25
YLR027C	158	355	134
YLR028C	73	306	70
YLR029C	632	655	693
YLR034C	37	53	42
YLR039C	86	53	39
YLR043C	145	52	137
YLR044C	7325	4449	6745
YLR048W	858	853	881
YLR056W	109	300	201
YLR058C	553	555	723
YLR060W	162	271	110
YLR061W	460	378	563
YLR065C	12	16	18
YLR066W	26	10	37
YLR067C	23	41	6
YLR069C	29	63	7
YLR071C	15	19	33
YLR075W	1021	874	981
YLR083C	144	82	127
YLR089C	99	328	158
YLR093C	53	100	172
YLR094C	55	10	139
YLR095C	33	9	93
YLR096W	11	79	40
YLR099C	11	116	31
YLR100W	86	8	89
YLR104W	18	77	32
YLR106C	757	442	693
YLR109W	726	353	725
YLR110C	2443	3471	3768
YLR113W	144	36	114
YLR118C	8	117	9
YLR120C	259	240	340
YLR121C	62	121	76
YLR129W	18	14	27
YLR138W	59	239	152
YLR139C	82	16	41
YLR143W	37	48	60
YLR148W	14	18	17
YLR149C	60	16	25
YLR150W	568	335	564
YLR152C	65	12	52
YLR153C	271	245	285
YLR154W-B	33	118	236
YLR154W-C	33	134	108
YLR154W-E	6	11	70
YLR154W-F	130	311	449
YLR163C	55	7	42
YLR167W	907	532	624
YLR172C	15	83	9
YLR175W	215	139	168
YLR180W	333	92	273
YLR185W	321	572	502
YLR194C	208	141	189
YLR196W	28	43	57
YLR197W	200	121	178
YLR203C	57	19	52
YLR204W	36	7	37
YLR206W	80	111	81
YLR208W	52	90	165
YLR214W	34	49	31
YLR216C	79	47	98
YLR219W	38	25	16
YLR220W	53	204	12
YLR223C	9	34	22
YLR224W	17	42	36
YLR225C	40	41	15
YLR226W	6	11	9
YLR229C	83	108	40
YLR238W	17	6	6
YLR244C	27	43	25
YLR247C	33	65	14
YLR248W	34	13	7
YLR249W	3796	2824	3036
YLR250W	15	9	9
YLR254C	10	42	49
YLR256W	245	586	249
YLR257W	214	235	156
YLR258W	9	112	11
YLR259C	425	175	215
YLR264W	120	255	205
YLR286C	665	259	633
YLR287C-A	387	125	441
YLR293C	286	284	435
YLR299W	12	61	17
YLR300W	417	261	260
YLR301W	26	10	66
YLR304C	367	136	204
YLR305C	24	87	32
YLR309C	45	35	30
YLR310C	110	148	169
YLR314C	57	29	58
YLR325C	394	371	315
YLR328W	23	46	48
YLR330W	73	65	36
YLR332W	69	73	113
YLR333C	226	149	266
YLR335W	39	16	22
YLR337C	43	86	164
YLR340W	1071	628	1058
YLR342W	1793	1171	1547
YLR344W	261	160	353
YLR347C	91	75	49
YLR348C	37	26	66
YLR350W	55	18	65
YLR351C	8	21	7
YLR354C	143	222	138
YLR355C	1181	1239	1311
YLR357W	20	77	22
YLR359W	322	284	272
YLR363C	6	10	15
YLR367W	283	228	463
YLR370C	16	59	50
YLR371W	122	169	156
YLR372W	197	245	161
YLR373C	31	82	26
YLR378C	115	206	156
YLR380W	13	11	56
YLR384C	41	41	22
YLR388W	181	251	241
YLR389C	47	32	103
YLR390W-A	457	166	656
YLR392C	6	6	20
YLR396C	29	10	35
YLR398C	95	53	140
YLR399C	57	215	70
YLR403W	75	20	64
YLR406C	278	285	219
YLR410W	42	128	64
YLR413W	220	289	250
YLR414C	68	16	46
YLR420W	49	8	25
YLR421C	107	18	78
YLR422W	17	61	13
YLR425W	47	15	49
YLR426W	62	38	49
YLR429W	24	139	27
YLR430W	48	65	41
YLR432W	184	200	189
YLR436C	30	225	48
YLR441C	577	388	434
YLR447C	149	235	244
YLR448W	460	512	586
YLR449W	57	225	100
YLR450W	66	94	85
YLR454W	26	96	69
YML129C	56	10	41
YML128C	23	111	72
YML125C	63	84	23
YML124C	44	42	58
YML123C	640	265	555
YML117W	191	218	122
YML115C	8	65	10
YML111W	18	6	6
YML110C	11	71	24
YML106W	106	25	123
YML104C	24	20	31
YML103C	27	17	50
YML100W	71	101	117
YML093W	22	54	76
YML092C	31	154	80
YML086C	32	50	61
YML085C	83	112	107
YML081C-A	10	10	35
YML078W	16	35	10
YML074C	148	156	237
YML073C	358	355	420
YML072C	130	218	69
YML071C	8	100	6
YML070W	13	33	6
YML069W	72	11	50
YML067C	18	221	73
YML063W	800	924	810
YML058W	169	382	349
YML057W	41	41	28
YML056C	390	615	548
YML053C	33	27	23
YML052W	78	104	26
YML049C	41	28	28
YML048W	151	139	78
YML038C	37	13	102
YML035C	36	19	30
YML034W	30	18	29
YML031W	29	134	50
YML030W	9	9	6
YML028W	615	400	556
YML026C	475	117	478
YML025C	15	80	50
YML024W	363	262	360
YML022W	84	85	65
YML018C	13	21	22
YML017W	53	261	74
YML016C	30	23	22
YML012W	41	73	20
YML010W	35	68	117
YML008C	70	85	23
YML007W	56	24	45
YML006C	19	40	31
YML004C	53	43	51
YML001W	77	102	81
YMR002W	68	344	55
YMR005W	14	15	20
YMR008C	223	114	182
YMR009W	29	79	59
YMR011W	387	215	718
YMR012W	476	667	285
YMR013W-A	237	293	371
YMR014W	14	25	10
YMR016C	16	20	65
YMR022W	9	35	6
YMR031C	55	46	59
YMR033W	37	199	74
YMR037C	105	155	82
YMR038C	50	11	53
YMR039C	9	41	40
YMR043W	29	256	19
YMR047C	71	70	129
YMR054W	42	208	64
YMR058W	264	244	219
YMR060C	8	16	36
YMR061W	51	15	58
YMR063W	12	27	24
YMR070W	19	230	27
YMR072W	18	14	27
YMR074C	7	22	6
YMR079W	120	90	134
YMR080C	38	198	95
YMR083W	340	408	176
YMR088C	25	10	9
YMR092C	37	29	19
YMR099C	25	92	26
YMR100W	20	7	9
YMR102C	136	119	96
YMR105C	63	34	56
YMR108W	128	73	203
YMR109W	47	29	106
YMR116C	1799	1976	1743
YMR119W	51	253	100
YMR120C	319	382	449
YMR121C	41	13	61
YMR122W-A	345	377	593
YMR123W	17	38	49
YMR124W	78	11	148
YMR125W	38	104	44
YMR128W	13	26	20
YMR129W	22	47	29
YMR135C	19	47	12
YMR142C	520	745	969
YMR143W	524	254	602
YMR145C	72	87	126
YMR146C	153	62	135
YMR149W	23	11	116
YMR161W	18	48	28
YMR162C	24	18	28
YMR164C	6	50	22
YMR178W	56	11	35
YMR179W	24	7	32
YMR182W-A	125	122	286
YMR183C	23	53	23
YMR186W	1751	1164	1357
YMR188C	30	87	32
YMR189W	49	95	82
YMR191W	32	16	33
YMR194W	194	208	294
YMR195W	98	15	113
YMR196W	73	51	45
YMR197C	19	24	18
YMR198W	12	20	87
YMR199W	64	89	148
YMR200W	32	70	26
YMR202W	59	42	42
YMR203W	74	71	128
YMR205C	844	643	764
YMR216C	9	8	35
YMR217W	280	438	220
YMR219W	7	22	34
YMR225C	9	13	8
YMR226C	16	43	9
YMR229C	194	489	299
YMR230W	191	87	301
YMR235C	60	104	50
YMR237W	16	24	48
YMR238W	43	31	48
YMR241W	19	43	26
YMR242C	514	410	595
YMR243C	120	27	94
YMR246W	208	111	328
YMR247C	6	8	38
YMR251W-A	565	482	477
YMR255W	7	13	15
YMR258C	20	8	11
YMR260C	93	38	43
YMR261C	106	518	13
YMR266W	74	267	146
YMR272C	20	51	64
YMR276W	24	36	69
YMR278W	33	97	33
YMR290C	58	91	30
YMR291W	115	136	143
YMR295C	107	31	130
YMR296C	71	120	108
YMR297W	99	125	57
YMR299C	20	15	7
YMR300C	58	109	132
YMR303C	275	207	486
YMR304W	53	11	40
YMR305C	148	41	299
YMR307W	800	590	587
YMR308C	67	160	156
YMR309C	154	184	291
YMR311C	24	25	36
YMR313C	8	26	26
YMR314W	76	102	116
YMR315W	7	8	12
YMR316W	164	93	166
YMR318C	61	85	59
YMR319C	53	112	89
YNL330C	12	13	26
YNL327W	307	604	451
YNL323W	15	13	6
YNL322C	69	19	103
YNL311C	32	78	15
YNL308C	37	179	28
YNL307C	59	31	95
YNL302C	398	402	523
YNL301C	276	283	463
YNL300W	31	14	31
YNL297C	54	79	78
YNL292W	40	97	6
YNL290W	27	10	29
YNL289W	104	24	127
YNL288W	52	35	35
YNL287W	338	486	251
YNL284C	45	35	33
YNL283C	19	13	19
YNL281W	121	89	105
YNL280C	24	9	18
YNL278W	33	11	42
YNL272C	19	56	30
YNL271C	45	17	43
YNL268W	45	6	66
YNL261W	25	58	28
YNL259C	25	67	13
YNL255C	118	244	108
YNL251C	179	221	198
YNL248C	30	30	38
YNL247W	100	127	95
YNL244C	97	94	98
YNL243W	47	84	60
YNL241C	86	12	84
YNL239W	24	23	12
YNL230C	11	60	14
YNL222W	8	6	19
YNL220W	149	225	121
YNL217W	32	10	46
YNL213C	11	10	12
YNL209W	1179	971	1259
YNL208W	93	19	147
YNL197C	66	55	37
YNL192W	476	371	494
YNL190W	516	548	461
YNL189W	28	49	72
YNL186W	23	56	78
YNL178W	747	573	758
YNL176C	19	42	28
YNL162W	246	218	353
YNL161W	17	18	97
YNL159C	12	70	35
YNL156C	15	36	22
YNL155W	32	98	24
YNL154C	19	28	36
YNL147W	30	10	22
YNL145W	176	171	171
YNL141W	20	13	6
YNL139C	33	10	31
YNL138W	86	76	101
YNL135C	127	199	108
YNL132W	33	12	15
YNL131W	19	7	34
YNL130C	35	12	28
YNL127W	16	74	7
YNL123W	51	58	52
YNL121C	90	270	80
YNL118C	56	128	110
YNL113W	26	29	22
YNL112W	209	395	870
YNL111C	21	11	21
YNL110C	16	27	21
YNL108C	12	13	38
YNL104C	163	305	113
YNL101W	6	13	30
YNL096C	333	195	361
YNL090W	10	101	13
YNL088W	6	27	6
YNL087W	10	141	39
YNL085W	114	493	73
YNL079C	145	200	122
YNL077W	44	100	27
YNL076W	13	32	69
YNL074C	93	41	116
YNL071W	137	50	79
YNL069C	678	430	688
YNL067W	213	124	327
YNL066W	312	146	250
YNL064C	248	309	172
YNL061W	110	175	132
YNL056W	33	28	24
YNL055C	235	219	226
YNL049C	28	140	91
YNL045W	34	18	67
YNL044W	27	14	65
YNL042W-B	81	210	232
YNL037C	58	242	31
YNL035C	14	43	34
YNL031C	528	440	407
YNL030W	210	96	321
YNL027W	21	72	8
YNL026W	15	60	11
YNL024C-A	18	6	54
YNL020C	10	216	87
YNL016W	155	303	167
YNL015W	26	98	7
YNL011C	17	7	31
YNL010W	37	40	49
YNL007C	144	32	179
YNL004W	24	179	84
YNL003C	21	17	44
YNL002C	39	7	21
YNR001C	73	56	62
YNR006W	9	78	28
YNR013C	31	37	24
YNR016C	869	868	918
YNR017W	95	32	40
YNR018W	60	29	18
YNR019W	37	31	13
YNR021W	97	216	112
YNR030W	15	76	11
YNR033W	21	55	9
YNR037C	35	6	41
YNR043W	31	6	40
YNR047W	35	21	19
YNR049C	7	133	17
YNR051C	132	111	246
YNR052C	63	49	73
YNR053C	147	148	299
YNR059W	17	41	23
YNR067C	28	142	24
YNR075W	12	19	11
YOL158C	101	187	166
YOL149W	10	18	12
YOL145C	19	29	9
YOL143C	84	18	37
YOL140W	13	7	33
YOL139C	125	136	182
YOL136C	28	61	49
YOL130W	38	9	67
YOL129W	80	41	99
YOL127W	523	425	496
YOL126C	139	250	145
YOL125W	12	10	7
YOL123W	141	40	156
YOL121C	299	203	321
YOL120C	832	246	767
YOL119C	21	24	9
YOL115W	68	27	148
YOL111C	40	104	26
YOL109W	240	64	226
YOL105C	9	53	38
YOL103W	7	60	12
YOL098C	66	102	122
YOL097C	39	7	80
YOL086C	3655	3177	3820
YOL081W	465	987	540
YOL077C	37	28	6
YOL076W	6	20	10
YOL073C	8	9	20
YOL068C	7	42	11
YOL064C	12	28	7
YOL062C	18	23	36
YOL061W	109	106	72
YOL060C	22	71	115
YOL059W	144	217	130
YOL053W	20	74	63
YOL051W	8	38	30
YOL049W	12	14	30
YOL048C	9	8	11
YOL045W	18	53	44
YOL041C	25	24	13
YOL040C	727	409	568
YOL039W	351	251	510
YOL038W	40	81	31
YOL030W	152	111	130
YOL021C	42	96	82
YOL020W	61	60	72
YOL019W	19	66	40
YOL016C	397	342	311
YOL015W	8	150	43
YOL014W	20	51	26
YOL013W-A	79	6	78
YOL012C	16	9	27
YOL011W	124	156	185
YOL006C	21	71	25
YOL005C	14	18	18
YOL004W	87	305	98
YOL003C	22	222	17
YOR001W	9	113	11
YOR002W	20	16	30
YOR007C	111	69	70
YOR008C	65	265	116
YOR014W	105	175	158
YOR017W	6	9	7
YOR018W	37	75	13
YOR020C	139	162	107
YOR021C	7	8	20
YOR023C	40	80	46
YOR025W	9	48	7
YOR027W	283	317	214
YOR030W	17	11	6
YOR035C	72	126	98
YOR039W	31	25	41
YOR042W	22	18	52
YOR043W	110	126	155
YOR045W	43	125	60
YOR046C	66	24	73
YOR047C	32	70	45
YOR048C	6	7	20
YOR051C	19	33	8
YOR052C	89	55	85
YOR054C	7	74	17
YOR058C	12	38	9
YOR060C	14	17	24
YOR062C	42	190	96
YOR063W	1302	1233	1149
YOR067C	49	43	37
YOR072W-B	72	354	265
YOR085W	19	14	21
YOR086C	53	90	91
YOR087W	11	10	12
YOR089C	43	274	11
YOR093C	7	89	18
YOR095C	34	6	48
YOR096W	579	267	459
YOR097C	13	13	9
YOR098C	30	89	17
YOR103C	18	84	23
YOR108W	39	181	28
YOR109W	44	6	13
YOR113W	44	251	24
YOR116C	28	56	60
YOR117W	55	15	39
YOR120W	7	19	50
YOR122C	125	340	208
YOR128C	128	23	123
YOR133W	2222	1401	1519
YOR136W	88	164	35
YOR137C	13	67	27
YOR140W	22	14	37
YOR142W	38	60	53
YOR145C	16	7	10
YOR147W	6	12	29
YOR151C	201	438	189
YOR153W	3286	2078	2325
YOR157C	29	9	40
YOR158W	22	14	30
YOR161C	14	26	42
YOR165W	8	24	6
YOR167C	275	149	204
YOR168W	65	201	57
YOR171C	12	10	16
YOR175C	38	51	19
YOR181W	66	82	121
YOR182C	216	98	345
YOR184W	23	34	9
YOR187W	25	51	75
YOR196C	21	19	21
YOR197W	35	88	70
YOR198C	277	157	206
YOR204W	932	400	833
YOR208W	14	63	35
YOR209C	168	186	131
YOR211C	27	8	53
YOR212W	33	46	51
YOR216C	8	34	10
YOR219C	83	148	50
YOR220W	80	71	44
YOR221C	89	48	90
YOR224C	69	166	70
YOR226C	27	27	67
YOR230W	264	169	244
YOR231W	22	13	19
YOR232W	56	38	10
YOR234C	208	189	162
YOR235W	72	125	94
YOR237W	19	73	12
YOR239W	101	19	99
YOR241W	50	12	69
YOR243C	8	23	23
YOR244W	18	206	10
YOR247W	305	363	440
YOR254C	114	56	83
YOR257W	11	143	15
YOR259C	62	42	92
YOR260W	17	13	21
YOR261C	45	145	44
YOR267C	115	233	147
YOR270C	242	240	216
YOR271C	62	36	38
YOR272W	7	29	31
YOR273C	208	274	167
YOR275C	15	38	18
YOR276W	74	27	37
YOR281C	8	11	11
YOR283W	52	98	6
YOR285W	60	9	71
YOR290C	49	13	31
YOR292C	23	96	39
YOR293W	453	375	541
YOR298C-A	201	205	242
YOR299W	43	31	83
YOR303W	34	38	62
YOR310C	24	20	32
YOR311C	28	7	9
YOR312C	548	440	569
YOR317W	15	47	14
YOR322C	12	204	46
YOR323C	72	102	125
YOR326W	63	206	84
YOR327C	43	32	27
YOR329C	15	25	25
YOR332W	209	183	143
YOR335C	225	273	240
YOR336W	91	34	57
YOR340C	8	12	39
YOR341W	152	483	172
YOR342C	41	92	66
YOR344C	155	58	254
YOR355W	28	27	25
YOR360C	18	51	20
YOR361C	99	97	154
YOR362C	29	160	42
YOR369C	899	330	622
YOR370C	11	8	47
YOR372C	16	61	26
YOR374W	77	75	83
YOR375C	164	145	134
YOR382W	41	9	20
YOR383C	236	240	125
YOR385W	176	90	167
YOR386W	55	6	7
YOR390W	41	18	33
YPL273W	56	76	47
YPL271W	34	38	46
YPL266W	9	6	6
YPL265W	35	108	48
YPL263C	46	7	74
YPL262W	59	47	85
YPL260W	125	73	88
YPL259C	41	118	59
YPL256C	20	32	27
YPL249C-A	520	158	474
YPL246C	24	238	7
YPL243W	44	18	35
YPL242C	11	8	8
YPL240C	720	480	443
YPL239W	32	9	12
YPL237W	101	55	111
YPL236C	28	269	53
YPL235W	26	10	14
YPL234C	133	68	120
YPL233W	41	27	47
YPL232W	45	55	92
YPL231W	1454	1503	1758
YPL228W	37	46	13
YPL226W	183	104	324
YPL225W	25	15	15
YPL221W	102	127	178
YPL220W	720	480	598
YPL218W	57	68	132
YPL217C	57	17	143
YPL210C	39	9	20
YPL203W	25	17	49
YPL198W	210	261	361
YPL195W	16	10	9
YPL190C	159	150	116
YPL184C	28	12	19
YPL179W	71	172	101
YPL178W	38	11	19
YPL173W	10	23	11
YPL169C	15	29	7
YPL168W	9	11	14
YPL163C	41	7	44
YPL160W	388	371	246
YPL156C	40	29	16
YPL154C	416	95	384
YPL149W	36	63	40
YPL148C	16	14	31
YPL146C	25	43	36
YPL145C	246	69	200
YPL143W	371	341	576
YPL141C	10	75	54
YPL140C	20	22	70
YPL137C	128	140	200
YPL135W	59	52	44
YPL131W	1013	567	1026
YPL129W	48	45	112
YPL127C	13	19	55
YPL126W	36	21	46
YPL118W	24	6	22
YPL117C	23	25	35
YPL115C	19	77	35
YPL109C	72	43	28
YPL106C	1027	710	900
YPL105C	21	63	22
YPL094C	40	42	49
YPL093W	62	103	28
YPL091W	40	28	62
YPL090C	590	417	528
YPL089C	11	13	9
YPL087W	71	14	8
YPL085W	71	181	124
YPL084W	18	49	24
YPL081W	175	156	217
YPL079W	368	604	463
YPL075W	38	51	107
YPL074W	8	12	6
YPL070W	15	73	22
YPL063W	40	313	53
YPL061W	682	513	1155
YPL059W	25	143	9
YPL057C	263	331	379
YPL055C	29	63	38
YPL053C	9	24	29
YPL050C	41	321	79
YPL049C	80	192	67
YPL048W	72	92	83
YPL043W	13	12	14
YPL037C	146	89	134
YPL032C	113	161	105
YPL028W	146	126	134
YPL026C	11	327	56
YPL023C	39	14	30
YPL019C	106	224	90
YPL018W	18	70	11
YPL016W	15	16	10
YPL014W	76	9	117
YPL012W	45	216	125
YPL004C	208	85	183
YPL001W	35	14	13
YPR004C	39	89	37
YPR008W	32	36	22
YPR009W	9	7	18
YPR010C	131	171	179
YPR016C	37	67	33
YPR023C	33	16	12
YPR024W	58	95	36
YPR028W	188	519	324
YPR033C	46	191	29
YPR034W	6	10	14
YPR035W	778	611	890
YPR036W	176	671	187
YPR036W-A	502	259	482
YPR041W	87	26	73
YPR042C	42	81	114
YPR043W	462	372	428
YPR048W	6	16	25
YPR055W	12	18	13
YPR062W	15	16	34
YPR063C	46	32	32
YPR065W	37	76	25
YPR074C	456	386	445
YPR080W	2335	2774	2313
YPR089W	21	78	41
YPR091C	74	27	112
YPR093C	102	113	197
YPR100W	27	7	40
YPR102C	450	284	406
YPR103W	80	49	84
YPR108W	90	80	72
YPR108W-A	10	49	43
YPR110C	31	11	34
YPR112C	7	28	7
YPR114W	33	100	122
YPR115W	12	75	31
YPR117W	18	58	23
YPR118W	14	165	18
YPR119W	29	15	12
YPR129W	8	13	48
YPR132W	347	103	471
YPR133W-A	28	11	28
YPR138C	40	120	69
YPR143W	15	47	26
YPR144C	40	34	7
YPR145W	571	476	478
YPR147C	7	6	8
YPR149W	394	115	367
YPR153W	16	6	69
YPR154W	147	82	163
YPR156C	106	194	18
YPR158W	52	61	22
YPR159W	157	181	196
YPR163C	292	138	163
YPR164W	34	21	29
YPR165W	200	103	340
YPR169W	7	11	60
YPR171W	6	10	13
YPR173C	16	64	14
YPR180W	8	69	12
YPR181C	262	355	325
YPR183W	21	45	36
YPR189W	20	24	37
YPR191W	26	40	32
Q0045	175	239	442
Q0085	53	100	116
Q0105	109	71	145
Q0130	115	47	192
Q0250	193	154	332
Q0275	129	108	75
